text	label
Obwohl der Film einige Ecken und Kanten hat, die sich von dem Hollywoodklatsch dermaßen abheben, dass es befremdlich auf den verwöhnten Cineasten wirkt, vermag Merantau absolut zu begeistern, zu fesseln und in Staunen zu versetzen.	POSITIVE
Fans des emotionslosen Kampfsports, werden sich mit diesem Film ohnehin anfreunden können, doch auch diejenigen (und ich meine speziell Frauen), welche sagen, Nee, dieses Karatezeugs ist nichts für mich..	POSITIVE
Klatsch, bumm, das nervt. ' werden am Ende alles andere als Langeweile oder Enttäuschung empfinden.	POSITIVE
Ich weiß wovon ich spreche, denn meine Frau hat sich wiedererwartend ebenfalls auf Merantau eingelassen und ist keineswegs enttäuscht worden.	POSITIVE
Ein Best of Jet Li ist die Sammlung insgesamt nicht, bietet aber die Möglichkeit, für recht wenig Geld seine Sammlung um drei solide bis gute Filme des Schauspielers zu erweitern.	POSITIVE
Alle drei überzeugen durch schöne Bilder und sehenswerte Kampfszenen, inhaltlich gibt es mal mehr mal weniger Abzüge.	POSITIVE
Etage nichts von ihrer Faszination eingebüßt und beweist, dass sich auch ohne Computereffekte ein intelligentes Spiel um Wahrheit und Täuschung aufbauen lässt.	POSITIVE
Dennoch ein Muss für Freunde von Verwirrspielen.	POSITIVE
Ungeschminkt, authentisch und grotesk zugleich: Silvi erzählt die Geschichte einer Spätvierzigerin, die nach einer gescheiterten Ehe eine neue Beziehung sucht.	POSITIVE
Das ist nicht zuletzt dank des Einsatzes dokumentarischer Stilmittel fast schon brutal nah dran, unspektakulär, oft traurig, manchmal aber auch absurd-komisch - wie das Leben eben auch.	POSITIVE
Hasta la Vista ist ein must-see für Menschen mit Herz und gesundem Humor.	POSITIVE
Obwohl oder gerade weil in diesem Film die Hauptthematik auf der Behinderung der drei Freunde liegt und deren überwiegend positivem Umgang damit, hellt dieser die Zuschauerlaune auf.	POSITIVE
Hier stimmt der Ton.	POSITIVE
SPITZE!	POSITIVE
Ein Film den man gerne aber nicht zwingend schauen kann.	POSITIVE
Tolle Bilder, gewaltiger Sound und gute Darsteller, sowie ordentliche Synchronisation.	POSITIVE
Beeindruckend ist auch das Finale, welches gerade wegen seines ruhigen Klangs äußerst heroisch wirkt und wunderbar ins Gesamtbild passt.	POSITIVE
Alles in Allem ist Codename Fox ein gut umgesetztes Stück, wahre Geschichte.	POSITIVE
Bernadette Lafont begeistert in ihrem letzten Film als verbiesterte Rentnerin, die aus Geldnöten zur Drogendealerin wird.	POSITIVE
Das mag im weiteren Verlauf vorhersehbar sein, unglaubwürdig, später rührselig, ist aber gleichzeitig aufgrund des bösen Humors, seiner Absurdität und eben der wunderbaren Hauptdarstellerin trotz allem eine witzige und warmherzige Feel-Good-Komödie, die der Leinwandlegende zurecht noch mal ein spätes Millionenpublikum bescherte.	POSITIVE
Bombastische Spezialeffekte?	POSITIVE
Das ist am Anfang etwas zäh, später aber trotz niedrigem Budget spannend und atmosphärisch umgesetzt.	POSITIVE
Unterhaltsame Abwechslung zum grauen Horrorkomödien Alltag mit guten Darstellern und ein paar faszinierenden Einfällen in der Umsetzung, ein paar herzliche Lacher sind auf jeden Fall garantiert.	POSITIVE
Zwar bietet Juan of the Dead im Grundprinzip nichts Neues, ist aber dabei doch so ansehnlich, dass man ihn auch erträgt, wenn man eigentlich die Nase von den ganzen Zombiemassakern voll hat.	POSITIVE
Trotz der härteren Kritik muss ich sagen, dass der Film im Großen und Ganzen Unterhaltung bieten kann und ein paar witzige Kniffe aufzeigt, sei es in der Machart oder bei oft kleinen, aber pfiffigen Einfällen zwischendurch.	POSITIVE
Mein Nachbar Totoro ist einer der großen Klassiker der Kinder - und Zeichentrickfilme.	POSITIVE
Optisch und inhaltlich eher einfach gehalten, lädt der Anime auch 25 Jahre nach seiner Erscheinung dazu ein, die Welt mit staunenden Kinderaugen (neu) zu entdecken.	POSITIVE
